"Value","Margin_Of_Error","Population","Sheet","Scenario","Variable","Topic","Quantile","Poverty_Type","Population_Type","Winner_Loser","Eq_DI_Quantile","WnL_Group","Rounding_Rule","Name"
"5.8","0.5","228000","Values","FTC5a42.7k25","Percentage_In_Poverty","Poverty",NA,"BHC","Adults",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"7.5","1.1000000000000001","87000","Values","FTC5a42.7k25","Percentage_In_Poverty","Poverty",NA,"BHC","Children",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"6.7","0.6","181000","Values","FTC5a42.7k25","Percentage_In_Poverty","Poverty",NA,"BHC","Families",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"7","0.5","129000","Values","FTC5a42.7k25","Percentage_In_Poverty","Poverty",NA,"BHC","Households",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"2633030000","192916000","243000","Values","FTC5a42.7k25","Total_Depth_Of_Poverty","Poverty",NA,"Fixed_AHC","Household",NA,NA,NA,"Poverty_Total_Depth","FTC5a42.7k25"
"1375806000","133213000","129000","Values","FTC5a42.7k25","Total_Depth_Of_Poverty","Poverty",NA,"BHC","Household",NA,NA,NA,"Poverty_Total_Depth","FTC5a42.7k25"
"10800","600","243000","Values","FTC5a42.7k25","Average_Depth_Of_Poverty","Poverty",NA,"Fixed_AHC","Household",NA,NA,NA,"Poverty_Average_Depth","FTC5a42.7k25"
"10700","800","129000","Values","FTC5a42.7k25","Average_Depth_Of_Poverty","Poverty",NA,"BHC","Household",NA,NA,NA,"Poverty_Average_Depth","FTC5a42.7k25"
"0","200","131000","Values","FTC5a42.7k25","Change_In_Average_Depth_Of_Poverty","Poverty",NA,"BHC","Household",NA,NA,NA,"Poverty_Average_Depth","FTC5a42.7k25"
"0","100","246000","Values","FTC5a42.7k25","Change_In_Average_Depth_Of_Poverty","Poverty",NA,"Fixed_AHC","Household",NA,NA,NA,"Poverty_Average_Depth","FTC5a42.7k25"
"-0.1","0.1","232000","Values","FTC5a42.7k25","Change_In_Percentage_In_Poverty","Poverty",NA,"BHC","Adults",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"-0.4","0.3","92000","Values","FTC5a42.7k25","Change_In_Percentage_In_Poverty","Poverty",NA,"BHC","Children",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"-0.1","0.1","183000","Values","FTC5a42.7k25","Change_In_Percentage_In_Poverty","Poverty",NA,"BHC","Families",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"-0.1","0.1","131000","Values","FTC5a42.7k25","Change_In_Percentage_In_Poverty","Poverty",NA,"BHC","Households",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"-0.1","0.2","415000","Values","FTC5a42.7k25","Change_In_Percentage_In_Poverty","Poverty",NA,"Fixed_AHC","Adults",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"-0.8","0.5","160000","Values","FTC5a42.7k25","Change_In_Percentage_In_Poverty","Poverty",NA,"Fixed_AHC","Children",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"-0.1","0.1","323000","Values","FTC5a42.7k25","Change_In_Percentage_In_Poverty","Poverty",NA,"Fixed_AHC","Families",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"-0.2","0.2","246000","Values","FTC5a42.7k25","Change_In_Percentage_In_Poverty","Poverty",NA,"Fixed_AHC","Households",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"-4000","4000","232000","Values","FTC5a42.7k25","Change_In_Population_In_Poverty","Poverty",NA,"BHC","Adults",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"-5000","4000","92000","Values","FTC5a42.7k25","Change_In_Population_In_Poverty","Poverty",NA,"BHC","Children",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"-3000","3000","183000","Values","FTC5a42.7k25","Change_In_Population_In_Poverty","Poverty",NA,"BHC","Families",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"-2000","2000","131000","Values","FTC5a42.7k25","Change_In_Population_In_Poverty","Poverty",NA,"BHC","Households",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"-4000","4000","415000","Values","FTC5a42.7k25","Change_In_Population_In_Poverty","Poverty",NA,"Fixed_AHC","Adults",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"-9000","6000","160000","Values","FTC5a42.7k25","Change_In_Population_In_Poverty","Poverty",NA,"Fixed_AHC","Children",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"-4000","3000","323000","Values","FTC5a42.7k25","Change_In_Population_In_Poverty","Poverty",NA,"Fixed_AHC","Families",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"-4000","3000","246000","Values","FTC5a42.7k25","Change_In_Population_In_Poverty","Poverty",NA,"Fixed_AHC","Households",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"-20981000","7992000","131000","Values","FTC5a42.7k25","Change_In_Total_Depth_Of_Poverty","Poverty",NA,"BHC","Household",NA,NA,NA,"Poverty_Total_Depth","FTC5a42.7k25"
"-34684000","3913000","246000","Values","FTC5a42.7k25","Change_In_Total_Depth_Of_Poverty","Poverty",NA,"Fixed_AHC","Household",NA,NA,NA,"Poverty_Total_Depth","FTC5a42.7k25"
"1848000","1000","1848000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"All","All","All Households","WnL_Population","FTC5a42.7k25"
"157755000","5294000","1848000","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"All","All","All Households","WnL_Value","FTC5a42.7k25"
"90","10","1848000","Values","FTC5a42.7k25","Mean_Annual_Change","WnL",NA,NA,NA,"All","All","All Households","WnL_Annual_Average","FTC5a42.7k25"
"2","1","1848000","Values","FTC5a42.7k25","Mean_Weekly_Change","WnL",NA,NA,NA,"All","All","All Households","WnL_Weekly_Average","FTC5a42.7k25"
"316000","11000","316000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"Winners","All","All Households","WnL_Population","FTC5a42.7k25"
"158204000","5260000","316000","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"Winners","All","All Households","WnL_Value","FTC5a42.7k25"
"500","20","316000","Values","FTC5a42.7k25","Mean_Annual_Change","WnL",NA,NA,NA,"Winners","All","All Households","WnL_Annual_Average","FTC5a42.7k25"
"10","1","316000","Values","FTC5a42.7k25","Mean_Weekly_Change","WnL",NA,NA,NA,"Winners","All","All Households","WnL_Weekly_Average","FTC5a42.7k25"
"S","S","S","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"Losers","All","All Households","WnL_Population","FTC5a42.7k25"
"S","S","S","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"Losers","All","All Households","WnL_Value","FTC5a42.7k25"
"S","S","S","Values","FTC5a42.7k25","Mean_Annual_Change","WnL",NA,NA,NA,"Losers","All","All Households","WnL_Annual_Average","FTC5a42.7k25"
"S","S","S","Values","FTC5a42.7k25","Mean_Weekly_Change","WnL",NA,NA,NA,"Losers","All","All Households","WnL_Weekly_Average","FTC5a42.7k25"
"185000","1000","185000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"All","1","All Households","WnL_Population","FTC5a42.7k25"
"185000","1000","185000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"All","2","All Households","WnL_Population","FTC5a42.7k25"
"185000","1000","185000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"All","3","All Households","WnL_Population","FTC5a42.7k25"
"185000","1000","185000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"All","4","All Households","WnL_Population","FTC5a42.7k25"
"185000","1000","185000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"All","5","All Households","WnL_Population","FTC5a42.7k25"
"185000","1000","185000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"All","6","All Households","WnL_Population","FTC5a42.7k25"
"185000","1000","185000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"All","7","All Households","WnL_Population","FTC5a42.7k25"
"185000","1000","185000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"All","8","All Households","WnL_Population","FTC5a42.7k25"
"185000","1000","185000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"All","9","All Households","WnL_Population","FTC5a42.7k25"
"185000","1000","185000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"All","10","All Households","WnL_Population","FTC5a42.7k25"
"28939000","3390000","185000","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"All","1","All Households","WnL_Value","FTC5a42.7k25"
"17892000","2709000","185000","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"All","2","All Households","WnL_Value","FTC5a42.7k25"
"41021000","3700000","185000","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"All","3","All Households","WnL_Value","FTC5a42.7k25"
"42497000","3616000","185000","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"All","4","All Households","WnL_Value","FTC5a42.7k25"
"14705000","2622000","185000","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"All","5","All Households","WnL_Value","FTC5a42.7k25"
"6750000","1252000","185000","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"All","6","All Households","WnL_Value","FTC5a42.7k25"
"3325000","1005000","185000","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"All","7","All Households","WnL_Value","FTC5a42.7k25"
"1478000","835000","185000","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"All","8","All Households","WnL_Value","FTC5a42.7k25"
"872000","527000","185000","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"All","9","All Households","WnL_Value","FTC5a42.7k25"
"275000","257000","185000","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"All","10","All Households","WnL_Value","FTC5a42.7k25"
"160","20","185000","Values","FTC5a42.7k25","Mean_Annual_Change","WnL",NA,NA,NA,"All","1","All Households","WnL_Annual_Average","FTC5a42.7k25"
"100","20","185000","Values","FTC5a42.7k25","Mean_Annual_Change","WnL",NA,NA,NA,"All","2","All Households","WnL_Annual_Average","FTC5a42.7k25"
"220","30","185000","Values","FTC5a42.7k25","Mean_Annual_Change","WnL",NA,NA,NA,"All","3","All Households","WnL_Annual_Average","FTC5a42.7k25"
"230","20","185000","Values","FTC5a42.7k25","Mean_Annual_Change","WnL",NA,NA,NA,"All","4","All Households","WnL_Annual_Average","FTC5a42.7k25"
"80","20","185000","Values","FTC5a42.7k25","Mean_Annual_Change","WnL",NA,NA,NA,"All","5","All Households","WnL_Annual_Average","FTC5a42.7k25"
"40","10","185000","Values","FTC5a42.7k25","Mean_Annual_Change","WnL",NA,NA,NA,"All","6","All Households","WnL_Annual_Average","FTC5a42.7k25"
"20","10","185000","Values","FTC5a42.7k25","Mean_Annual_Change","WnL",NA,NA,NA,"All","7","All Households","WnL_Annual_Average","FTC5a42.7k25"
"10","10","185000","Values","FTC5a42.7k25","Mean_Annual_Change","WnL",NA,NA,NA,"All","8","All Households","WnL_Annual_Average","FTC5a42.7k25"
"0","10","185000","Values","FTC5a42.7k25","Mean_Annual_Change","WnL",NA,NA,NA,"All","9","All Households","WnL_Annual_Average","FTC5a42.7k25"
"0","10","185000","Values","FTC5a42.7k25","Mean_Annual_Change","WnL",NA,NA,NA,"All","10","All Households","WnL_Annual_Average","FTC5a42.7k25"
"3","1","185000","Values","FTC5a42.7k25","Mean_Weekly_Change","WnL",NA,NA,NA,"All","1","All Households","WnL_Weekly_Average","FTC5a42.7k25"
"2","1","185000","Values","FTC5a42.7k25","Mean_Weekly_Change","WnL",NA,NA,NA,"All","2","All Households","WnL_Weekly_Average","FTC5a42.7k25"
"4","1","185000","Values","FTC5a42.7k25","Mean_Weekly_Change","WnL",NA,NA,NA,"All","3","All Households","WnL_Weekly_Average","FTC5a42.7k25"
"4","1","185000","Values","FTC5a42.7k25","Mean_Weekly_Change","WnL",NA,NA,NA,"All","4","All Households","WnL_Weekly_Average","FTC5a42.7k25"
"2","1","185000","Values","FTC5a42.7k25","Mean_Weekly_Change","WnL",NA,NA,NA,"All","5","All Households","WnL_Weekly_Average","FTC5a42.7k25"
"1","1","185000","Values","FTC5a42.7k25","Mean_Weekly_Change","WnL",NA,NA,NA,"All","6","All Households","WnL_Weekly_Average","FTC5a42.7k25"
"0","1","185000","Values","FTC5a42.7k25","Mean_Weekly_Change","WnL",NA,NA,NA,"All","7","All Households","WnL_Weekly_Average","FTC5a42.7k25"
"0","1","185000","Values","FTC5a42.7k25","Mean_Weekly_Change","WnL",NA,NA,NA,"All","8","All Households","WnL_Weekly_Average","FTC5a42.7k25"
"0","1","185000","Values","FTC5a42.7k25","Mean_Weekly_Change","WnL",NA,NA,NA,"All","9","All Households","WnL_Weekly_Average","FTC5a42.7k25"
"0","1","185000","Values","FTC5a42.7k25","Mean_Weekly_Change","WnL",NA,NA,NA,"All","10","All Households","WnL_Weekly_Average","FTC5a42.7k25"
"52000","6000","52000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"Winners","1","All Households","WnL_Population","FTC5a42.7k25"
"34000","5000","34000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"Winners","2","All Households","WnL_Population","FTC5a42.7k25"
"78000","6000","78000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"Winners","3","All Households","WnL_Population","FTC5a42.7k25"
"82000","6000","82000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"Winners","4","All Households","WnL_Population","FTC5a42.7k25"
"34000","5000","34000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"Winners","5","All Households","WnL_Population","FTC5a42.7k25"
"19000","3000","19000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"Winners","6","All Households","WnL_Population","FTC5a42.7k25"
"10000","3000","10000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"Winners","7","All Households","WnL_Population","FTC5a42.7k25"
"4000","2000","4000","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"Winners","8","All Households","WnL_Population","FTC5a42.7k25"
"S","S","S","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"Winners","9","All Households","WnL_Population","FTC5a42.7k25"
"S","S","S","Values","FTC5a42.7k25","Population_In_Category","WnL",NA,NA,NA,"Winners","10","All Households","WnL_Population","FTC5a42.7k25"
"28940000","3391000","52000","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"Winners","1","All Households","WnL_Value","FTC5a42.7k25"
"17892000","2709000","34000","Values","FTC5a42.7k25","Total_Change","WnL",NA,NA,NA,"Winners","2","All Households","WnL_Value","FTC5a42.7k25"
